keypoint_index,keypoint_name,uuid,color
1,nose,6489e01f-8567-4a0c-ab2c-355bd1201e38,"(None, None, None)"
2,left-eye,acd12cc5-5162-4ae4-a75d-91f009fc9070,"(None, None, None)"
3,right-eye,852e47f2-29dd-45f7-8693-d07e09583a55,"(None, None, None)"
4,left-ear,a87b3409-369e-455a-9696-b7145768afa1,"(None, None, None)"
5,right-ear,b8358b24-5dd1-4d4f-9052-de7fc08c256c,"(None, None, None)"
6,left-shoulder,f02e6cfa-cd75-4459-a3d9-2ab0d2234980,"(None, None, None)"
7,right-shoulder,81cecc7e-fb55-4b21-804d-a126345a2a15,"(None, None, None)"
8,left-elbow,fe501271-b499-4613-a83c-3c259804a62f,"(None, None, None)"
9,right-elbow,5b69a64a-9106-4176-8de6-42204827c915,"(None, None, None)"
10,left-hip,d0741b82-7f35-486d-ab43-e5981fc03c6d,"(None, None, None)"
11,right-hip,0cd2d352-96d8-4f3d-be0f-54efd03a1bc7,"(None, None, None)"
12,left-knee,13f4a0e0-e02d-44e7-9f2a-32d27f4ae4b7,"(None, None, None)"
13,right-knee,14e8d378-45f4-4845-81a1-29747c942d54,"(None, None, None)"
14,left-ankle,5f65f653-6b02-4165-97e9-a771dd590615,"(None, None, None)"
15,right-ankle,119f3752-796f-4531-bf0f-09e079ec8937,"(None, None, None)"
16,left-big-toe-tip,01210c17-4eb9-48c9-af4b-130fc07df373,"(None, None, None)"
17,left-small-toe-tip,1da305d4-68c1-4635-86b7-15a3e8d76e21,"(None, None, None)"
18,left-heel,43cf91ca-5784-43b3-9da9-37187ac9c017,"(None, None, None)"
19,right-big-toe-tip,01d19dbc-2c05-4467-9993-adde0f792dc8,"(None, None, None)"
20,right-small-toe-tip,3e554162-9653-4be8-b91b-8c7494999c43,"(None, None, None)"
21,right-heel,30a6b201-1324-4aa3-b1bc-a1fca9d2c1eb,"(None, None, None)"
22,right-thumb-tip,a33d7d01-f312-4572-8a2b-607d90000343,"(None, None, None)"
23,right-thumb-first-joint,9fc25779-3554-442f-80d9-7b5c22f8e619,"(None, None, None)"
24,right-thumb-second-joint,71930411-672c-4c13-9b7a-03c973767c2f,"(None, None, None)"
25,right-thumb-third-joint,a079d626-3e98-415c-bd1f-47b121cf2809,"(None, None, None)"
26,right-index-tip,18698bb2-d2ec-4ef1-afb2-137c813662d6,"(None, None, None)"
27,right-index-first-joint,478a8de7-468d-4122-9e11-a3dce30260e4,"(None, None, None)"
28,right-index-second-joint,3914bb56-cec0-4ee5-81b1-aa77fd9e306f,"(None, None, None)"
29,right-index-third-joint,b10ea7b5-62b9-48bd-823c-d4356a30f77a,"(None, None, None)"
30,right-middle-tip,800d38e1-8e98-4683-b825-d32096dbb9ab,"(None, None, None)"
31,right-middle-first-joint,cbf99144-3e96-4a21-9cfe-609039cdad23,"(None, None, None)"
32,right-middle-second-joint,3a128e57-4f86-4c3b-9584-ddd66e06e699,"(None, None, None)"
33,right-middle-third-joint,3650e691-eca2-4ad6-8753-a8b4e3540e59,"(None, None, None)"
34,right-ring-tip,7c00f229-1719-4120-b431-97d313f47f4c,"(None, None, None)"
35,right-ring-first-joint,568e7f56-fdb3-4edf-8564-4f0a3c13910d,"(None, None, None)"
36,right-ring-second-joint,87dcc0ae-196f-444e-b5cf-397bd2d8cd48,"(None, None, None)"
37,right-ring-third-joint,26d752b6-e9be-4ea9-b38d-75ad1f8b4962,"(None, None, None)"
38,right-pinky-tip,2c65737e-86f2-4452-a577-e1dd3b73952e,"(None, None, None)"
39,right-pinky-first-joint,087e2e38c-91e8-41c6-ab6f-53400ca3326e,"(None, None, None)"
40,right-pinky-second-joint,8fe46c04-73ee-4335-a92d-7693d658a98b,"(None, None, None)"
41,right-pinky-third-joint,0aa3b822-7cf8-4838-b48f-a6d212335a93,"(None, None, None)"
42,right-wrist,a403697b-fc96-422e-bfa5-036deb94f7f0,"(None, None, None)"
43,left-thumb-tip,33ee9bf3-11be-46a3-bdf4-4d3096e68128,"(None, None, None)"
44,left-thumb-first-joint,d2216d31-cbf4-4d13-96cf-e11eb97f3ac3,"(None, None, None)"
45,left-thumb-second-joint,44a2e1f8-d9ca-4c7d-b397-48a198ee65a1,"(None, None, None)"
46,left-thumb-third-joint,056c56c4-2e37-4fa8-9396-68966b31e2e4,"(None, None, None)"
47,left-index-tip,37b8d1f8-507d-4d0d-9f02-60cb38dff957,"(None, None, None)"
48,left-index-first-joint,f1f129e3-89ef-4536-a4ff-fda10c2bc2f8,"(None, None, None)"
49,left-index-second-joint,c5a5ea95-18df-42a2-9970-6a7632129862,"(None, None, None)"
50,left-index-third-joint,58d33efd-3d0a-439f-9102-6b45c63f8c0f,"(None, None, None)"
51,left-middle-tip,5ec39388-9b4d-41a0-899c-fc0dfe4aaba3,"(None, None, None)"
52,left-middle-first-joint,6ed33903-a09b-40e0-9066-940b4ea06d12,"(None, None, None)"
53,left-middle-second-joint,ee64f476-ae48-4db0-84ff-3f5a90c399fc,"(None, None, None)"
54,left-middle-third-joint,f77c821f-5e1c-4e04-8caf-41d6541b5403,"(None, None, None)"
55,left-ring-tip,91c43f0e-421f-4c59-8ece-7539933ab80c,"(None, None, None)"
56,left-ring-first-joint,a9850ec7-4c8c-4cea-82b2-fa5b07fcaf1a,"(None, None, None)"
57,left-ring-second-joint,0e2a3c59-2703-40c6-b082-27f7dd2ab1f0,"(None, None, None)"
58,left-ring-third-joint,2ad156f8-9fdb-4f82-bd63-63215cdfd3f2,"(None, None, None)"
59,left-pinky-tip,e3320420-ea92-41df-aae5-f415c62d1004,"(None, None, None)"
60,left-pinky-first-joint,dc714809-0ea1-473d-9e73-e1367a48115f,"(None, None, None)"
61,left-pinky-second-joint,7d0297d1-aeba-40c5-b0da-51ca6c75efc1,"(None, None, None)"
62,left-pinky-third-joint,ed75b1f3-c3a8-4403-8cc2-1853ba0fffc0,"(None, None, None)"
63,left-wrist,95e22cb2-e183-48f1-bb6c-bacfb63392a7,"(None, None, None)"
64,left-olecranon,18fe68d2-5b1b-47bc-98b4-f5845b588e9d,"(255, 255, 0)"
65,right-olecranon,6a2d3e46-3c5b-47cc-914a-5b775ce0e9f8,"(0, 255, 255)"
66,left-cubital-fossa,1f9fc681-7399-4484-af1d-49d7bde8ee10,"(255, 255, 0)"
67,right-cubital-fossa,f4a7ad7a-0238-4f32-b3fa-8e505d886819,"(0, 255, 255)"
68,left-acromion,265319b8-c33e-4e34-b340-052bf71732b7,"(None, None, None)"
69,right-acromion,adaa35ba-8e10-4d8c-b76e-e8f4881e72d4,"(None, None, None)"
70,neck,508ef147-c1d2-4323-8332-0fe5f8fa214d,"(None, None, None)"
71,center-of-glabella,9426db04-df9b-4185-811c-a0ec1400a1cc,"(0, 0, 192)"
72,center-of-nose-root,d014439b-ecf1-436e-aedc-163406209501,"(0, 0, 192)"
73,tip-of-nose-bridge,ebd9ca8c-c579-4a99-9e09-6884f2293fd2,"(0, 0, 192)"
74,midpoint-1-of-nose-bridge,7a5fe799-5229-41cd-b9ad-684632f048cd,"(0, 0, 192)"
75,midpoint-2-of-nose-bridge,5f4332d4-743d-40e9-b4d8-dee6aba32806,"(0, 0, 192)"
76,midpoint-3-of-nose-bridge,59b4fda9-b02b-4ced-ab76-287ecab43b00,"(0, 0, 192)"
77,center-of-labiomental-groove,666ca5ac-81e3-4fcc-bb7f-e3333320d5ef,"(0, 0, 192)"
78,tip-of-chin,b983560f-9549-4665-b63f-c4db9f98fd38,"(0, 0, 192)"
79,upper-startpoint-of-r-eyebrow,a60ce9d4-a080-49bb-bcea-29d8f064f095,"(0, 0, 192)"
80,lower-startpoint-of-r-eyebrow,3464a43b-24df-43a1-a96f-0835e7efa8c5,"(0, 0, 192)"
81,end-of-r-eyebrow,251b496d-1b84-43eb-a34c-4a6a73153460,"(0, 0, 192)"
82,upper-midpoint-1-of-r-eyebrow,6d8f55d3-192d-4cff-b467-5c1dc130757e,"(0, 0, 192)"
83,lower-midpoint-1-of-r-eyebrow,34e72651-9dac-451a-80db-99f63c38770b,"(0, 0, 192)"
84,upper-midpoint-2-of-r-eyebrow,5c2ab8a2-0f1a-4d3e-bfa9-7166e65304ff,"(0, 0, 192)"
85,upper-midpoint-3-of-r-eyebrow,231a8a26-1dfd-4d28-b261-a0f8ccbedd89,"(0, 0, 192)"
86,lower-midpoint-2-of-r-eyebrow,02a14028-e7b7-4556-b2a2-b2412bb3eace,"(0, 0, 192)"
87,lower-midpoint-3-of-r-eyebrow,88fe15fd-7fbd-443d-9da9-7e75bb06fd1c,"(0, 0, 192)"
88,upper-startpoint-of-l-eyebrow,11c6ac7b-543b-46e8-b11b-62329cd882d9,"(0, 0, 192)"
89,lower-startpoint-of-l-eyebrow,b4869db6-088c-4f8f-83d6-30926b60a65c,"(0, 0, 192)"
90,end-of-l-eyebrow,9a6c0ef7-7a2d-48e1-a6f5-f26f5a836f0f,"(0, 0, 192)"
91,upper-midpoint-1-of-l-eyebrow,d3cc2522-575c-42ce-892f-f8e045ab0ca7,"(0, 0, 192)"
92,lower-midpoint-1-of-l-eyebrow,7062851a-6acd-4e57-9cbe-a8947e6aa498,"(0, 0, 192)"
93,upper-midpoint-2-of-l-eyebrow,f7463435-1354-48c2-8522-5f6ad6d218fb,"(0, 0, 192)"
94,upper-midpoint-3-of-l-eyebrow,4b20bbd5-814b-4286-a804-d03b1e571dac,"(0, 0, 192)"
95,lower-midpoint-2-of-l-eyebrow,6b0cc43d-b17e-4c9a-b879-d915c129aadd,"(0, 0, 192)"
96,lower-midpoint-3-of-l-eyebrow,3b82e52b-9ab2-474a-abd9-75e7c6518946,"(0, 0, 192)"
97,l-inner-end-of-upper-lash-line,e8071941-0ee0-4a4e-a0db-bbd5957ea5f0,"(192, 64, 128)"
98,l-outer-end-of-upper-lash-line,3f13a0c2-fd3f-40c7-ba51-228fa4a4b190,"(192, 64, 128)"
99,l-centerpoint-of-upper-lash-line,d49d3fed-c6c2-4ed8-ad58-10e6f23985d8,"(192, 64, 128)"
100,l-midpoint-2-of-upper-lash-line,74d56dcb-1a18-4ed2-aecc-72c1681b5863,"(192, 64, 128)"
101,l-midpoint-1-of-upper-lash-line,db438e18-331d-48c0-8532-c93b80bd51cf,"(192, 64, 128)"
102,l-midpoint-6-of-upper-lash-line,b7c4dd24-cfb6-4066-9453-9eccfbc34b85,"(192, 64, 128)"
103,l-midpoint-5-of-upper-lash-line,8d0e5085-43f5-4d1d-9143-7abc54b5a1e1,"(192, 64, 128)"
104,l-midpoint-4-of-upper-lash-line,6888557c-33ba-40c3-9326-ca1954665bc8,"(192, 64, 128)"
105,l-midpoint-3-of-upper-lash-line,ebe335f2-e0f6-4184-bd2e-a7d627bb1c48,"(192, 64, 128)"
106,l-outer-end-of-upper-eyelid-line,fd32834f-c96c-41d6-b3f8-47ebcdc0a3d2,"(192, 64, 128)"
107,l-midpoint-6-of-upper-eyelid-line,167f5263-a8c6-4c2b-956a-ce34b4cde353,"(192, 64, 128)"
108,l-midpoint-2-of-upper-eyelid-line,fa4df617-11f9-4f49-9a97-125e7dd23e6e,"(192, 64, 128)"
109,l-midpoint-5-of-upper-eyelid-line,2af2db77-5145-4a5b-9352-c2c55049a7a4,"(192, 64, 128)"
110,l-centerpoint-of-upper-eyelid-line,a3083478-4228-4aa2-8030-22094b07149e,"(192, 64, 128)"
111,l-midpoint-4-of-upper-eyelid-line,ff42724b-e950-4540-8ea6-66d5fcfbdc1e,"(192, 64, 128)"
112,l-midpoint-1-of-upper-eyelid-line,3d74469d-b6bf-4e13-b9f6-7e385ce33aab,"(192, 64, 128)"
113,l-midpoint-3-of-upper-eyelid-line,be95734c-ec8b-4a20-9e10-13928947db6f,"(192, 64, 128)"
114,l-midpoint-6-of-upper-crease-line,61fd1243-5a52-4fb7-81cf-e6919383524a,"(192, 64, 128)"
115,l-midpoint-2-of-upper-crease-line,5b514e35-90a5-49e8-80bb-3da8d6f2efb0,"(192, 64, 128)"
116,l-midpoint-5-of-upper-crease-line,742e49fe-dc70-46b5-aded-b53d957f63ff,"(192, 64, 128)"
117,l-centerpoint-of-upper-crease-line,66687685-f2d8-4839-bedb-57a3e80fdb1c,"(192, 64, 128)"
118,l-midpoint-4-of-upper-crease-line,90849545-2185-4569-9e27-52fd1b37aff6,"(192, 64, 128)"
119,l-midpoint-1-of-upper-crease-line,bea5975b-cee1-4685-bcea-8d6428e55193,"(192, 64, 128)"
120,l-midpoint-3-of-upper-crease-line,c3d937d5-3a9e-421c-98ce-7121a1577744,"(192, 64, 128)"
121,r-inner-end-of-upper-lash-line,d709c2ba-9e94-49c6-b516-a766e7c2e0ad,"(64, 32, 192)"
122,r-outer-end-of-upper-lash-line,98728cab-dcfe-4db4-a4fa-e9816a3099c8,"(64, 32, 192)"
123,r-centerpoint-of-upper-lash-line,8d9ab915-e0b1-409c-8045-5addc1222c4d,"(64, 32, 192)"
124,r-midpoint-1-of-upper-lash-line,9a50551f-740a-494e-8039-c9aa26f63e9c,"(64, 32, 192)"
125,r-midpoint-2-of-upper-lash-line,47c88702-f7c9-4bf8-95d3-92d389b737ba,"(64, 32, 192)"
126,r-midpoint-3-of-upper-lash-line,5b44514b-3858-4f5c-a61f-6c6f6531a498,"(64, 32, 192)"
127,r-midpoint-4-of-upper-lash-line,536f4fa9-3ab9-430d-9f29-ec6e001d0252,"(64, 32, 192)"
128,r-midpoint-5-of-upper-lash-line,8c905ef2-78ae-4099-8ff5-e79138c8c327,"(64, 32, 192)"
129,r-midpoint-6-of-upper-lash-line,ef0e8211-b64d-4c78-86fd-30e0144e6d1a,"(64, 32, 192)"
130,r-outer-end-of-upper-eyelid-line,4cba69b3-8f4b-4f8b-bcaa-a897d8b58946,"(64, 32, 192)"
131,r-midpoint-3-of-upper-eyelid-line,82fe2f2a-1022-4706-a108-930e377e0af5,"(64, 32, 192)"
132,r-midpoint-1-of-upper-eyelid-line,1e9c121d-244f-4e8f-b313-e5620f883466,"(64, 32, 192)"
133,r-midpoint-4-of-upper-eyelid-line,b807e502-ba7a-421b-9539-ea59bc2979c0,"(64, 32, 192)"
134,r-centerpoint-of-upper-eyelid-line,e38057d8-4dc7-4d3d-b367-082aa908edf5,"(64, 32, 192)"
135,r-midpoint-5-of-upper-eyelid-line,6774326d-8f9a-4c9d-b9f2-9465a000a5f4,"(64, 32, 192)"
136,r-midpoint-2-of-upper-eyelid-line,a6c621cf-c8d7-490e-ab24-7521f9aea3b4,"(64, 32, 192)"
137,r-midpoint-6-of-upper-eyelid-line,fb70694a-b304-4c88-9ea4-5fdd7886fe4a,"(64, 32, 192)"
138,r-midpoint-3-of-upper-crease-line,f95cf20f-a909-4d59-a403-e5e96a0dfc4d,"(64, 32, 192)"
139,r-midpoint-1-of-upper-crease-line,523f5e66-66f0-4aca-9146-df45fddf3243,"(64, 32, 192)"
140,r-midpoint-4-of-upper-crease-line,dd79bd84-b304-448e-990f-4254623cfac3,"(64, 32, 192)"
141,r-centerpoint-of-upper-crease-line,47053e7f-143a-4ce0-b151-5aa15a9c3554,"(64, 32, 192)"
142,r-midpoint-5-of-upper-crease-line,33af7843-4407-4ef6-bcd2-333cf43a23ea,"(64, 32, 192)"
143,r-midpoint-2-of-upper-crease-line,4294202a-4bc2-4b19-bf4c-ea89b904a419,"(64, 32, 192)"
144,r-midpoint-6-of-upper-crease-line,1cb1ee7a-7ca4-4287-97e5-57f7db8c5d9f,"(64, 32, 192)"
145,l-inner-end-of-lower-lash-line,7c5b0a4e-9bb2-419a-97a0-fac7e3ba667c,"(64, 192, 128)"
146,l-outer-end-of-lower-lash-line,1497009c-e105-4965-97c4-35b7b8bed856,"(64, 192, 128)"
147,l-centerpoint-of-lower-lash-line,fdfa54ad-26f1-4400-b08e-c54b58840c5f,"(64, 192, 128)"
148,l-midpoint-2-of-lower-lash-line,44575a96-7f0c-4b89-8697-95235c1059bf,"(64, 192, 128)"
149,l-midpoint-1-of-lower-lash-line,f2237227-061d-41fe-8c3c-60aace81e150,"(64, 192, 128)"
150,l-midpoint-6-of-lower-lash-line,c20e66ac-be17-46ed-b426-b476d60e1e6d,"(64, 192, 128)"
151,l-midpoint-5-of-lower-lash-line,db5876ce-344d-4b91-8ae7-9f057908bb03,"(64, 192, 128)"
152,l-midpoint-4-of-lower-lash-line,deec76f6-6a37-4e4e-9058-91b8185c18da,"(64, 192, 128)"
153,l-midpoint-3-of-lower-lash-line,50fd3804-8a34-4e0a-8f12-c5441eeb04b4,"(64, 192, 128)"
154,l-outer-end-of-lower-eyelid-line,46163701-c1ce-4f4e-bcc5-c5a70136a906,"(64, 192, 128)"
155,l-midpoint-6-of-lower-eyelid-line,88cbfe9c-002a-4986-9012-4834cfc9da92,"(64, 192, 128)"
156,l-midpoint-2-of-lower-eyelid-line,eb4ecc53-b5af-4b77-966a-6543dde869ac,"(64, 192, 128)"
157,l-midpoint-5-of-lower-eyelid-line,83d2086e-d023-4500-9441-fef6fd044bd0,"(64, 192, 128)"
158,l-centerpoint-of-lower-eyelid-line,7f11abee-2ba1-4821-8ef6-933c351351bf,"(64, 192, 128)"
159,l-midpoint-4-of-lower-eyelid-line,ba44bccc-7134-4252-a2a3-cb768b5db942,"(64, 192, 128)"
160,l-midpoint-1-of-lower-eyelid-line,79d6fd22-8295-4674-9c18-3c65de9e206a,"(64, 192, 128)"
161,l-midpoint-3-of-lower-eyelid-line,efe15237-8705-4234-9c01-c2f1189ebe40,"(64, 192, 128)"
